"";"ema";"institucion";"nombre_ema";"comuna";"region";"latitud";"longitud";"fecha_de_alta"
"330";371;"INIA";"El Membrillo";"Melipeuco";"Araucanía";-38,834167;-71,6825;2016-08-02 16:42:56
"331";372;"INIA";"Cerro Castillo";"Torres del Paine";"Magallanes";-51,176975;-72,435811;2016-08-02 16:45:05
"332";373;"INIA";"Rinconada-U de Chile";"Maipú";"Metropolitana";-33,497093;-70,845436;2016-08-02 16:47:51
"333";375;"INIA";"Estación Experimental Austral";"Valdivia";"Los Ríos";-39,787428;-73,234546;2016-08-02 16:51:17
"334";376;"INIA";"Rucatayo";"Río Bueno";"Los Ríos";-40,598896;-72,586541;2016-08-02 16:54:00
"335";377;"INIA";"Caleta Vitor";"Arica";"Arica y Parinacota";-18,781479;-70,283902;2016-08-02 16:55:26
"336";388;"INIA";"Puchuncavi";"Puchuncaví";"Valparaíso";-32,754967;-71,343432;2017-05-05 09:49:13
"337";389;"INIA";"El Arenal";"Quinta de Tilcoco";"O'Higgins";-34,35575;-70,991278;2017-05-05 09:51:48
"338";390;"INIA";"Belén";"Putre";"Arica y Parinacota";-18,468208;-69,523279;2017-05-05 09:53:06
"339";391;"INIA";"Ticnamar";"Arica";"Arica y Parinacota";-18,58007;-69,495965;2017-05-05 09:54:20
"340";392;"INIA";"La Junta";"Aysén";"Aysén";-43,916933;-72,387343;2017-05-05 09:55:58
"341";393;"FDF";"Los Vilos - Quebrachar";"Los Vilos";"Coquimbo";-31,8603889;-71,4395833;2017-08-03 11:52:45
"342";398;"FDF";"Puchuncavi";"Puchuncaví";"Valparaíso";-32,7310833;-71,4241389;2017-08-03 11:54:01
"343";403;"FDF";"Campanacura";"Parral";"Maule";-35,9738889;-72,0276389;2017-08-04 13:03:35
"344";408;"FDF";"Las Lomillas - San Clemente";"San Clemente";"Maule";-35,5416389;-71,3182219;2017-08-04 13:04:39
"345";413;"FDF";"Vichuquen";"Vichuquén";"Maule";-34,8549722;-72,0260556;2017-08-04 15:10:36
"346";418;"FDF";"Cobquecura";"Cobquecura";"Biobío";-36,1245278;-72,7953889;2017-08-04 15:20:24
"347";423;"FDF";"Allipén";"Freire";"Araucanía";-38,9997222;-72,5210833;2017-08-04 15:21:29
"348";428;"FDF";"Los Quilantos";"Freire";"Araucanía";-38,9083333;-72,7982222;2017-08-04 15:22:35
"349";433;"FDF";"Vida Nueva";"Villarrica";"Araucanía";-39,1963889;-72,2613611;2017-08-04 15:24:08
"350";438;"FDF";"Peldehue";"Colina";"Metropolitana";-33,1471111;-70,6602222;2017-08-08 09:22:10
"351";447;"INIA";"Falda Verde";"Chañaral";"Atacama";-26,299806;-70,624111;2017-08-31 09:32:00
"352";459;"INIA";"Estancia Zenia";"Porvenir";"Magallanes";-53,319496;-69,698147;2017-08-31 15:45:23
"353";467;"INIA";"Quilimari";"Los Vilos";"Coquimbo";-32,119098;-71,460005;2017-08-31 15:49:36
